alert_id,timestamp,incident_priority,alert_type,cve_score,ip_reputation_score,login_attempts,cpu_usage_percent,memory_usage_percent,payload_size,source_ip,user_role,system_context,geolocation
ALERT_0002216,2023-03-20 08:03:30.180684,High,Data Exfiltration,5.6,28.7,22.0,82.6,81.1,10687.0,,Developer,API Gateway,Turks and Caicos Islands
ALERT_0002583,2023-04-01 17:44:04.199324,Low,Brute Force,1.4,65.5,1.0,47.7,67.6,1182.0,,Developer,,Honduras
ALERT_0001663,2023-03-01 06:27:45.742225,Low,Brute Force,1.8,83.6,1.0,54.5,74.9,,,,Web Server,Philippines
ALERT_0003028,2023-04-17 03:02:37.518600,Medium,Phishing,3.4,28.4,5.0,73.9,63.7,2351.0,166.196.73.3,Developer,Web Server,Pitcairn Islands
ALERT_0004344,2023-05-31 03:10:31.943046,Low,,0.0,55.5,2.0,,48.5,395.0,,Finance,API Gateway,Timor-Leste
ALERT_0002681,2023-04-04 17:52:05.171048,Low,Malware,2.6,65.3,1.0,14.4,27.6,2406.0,,Admin,Endpoint,
ALERT_0001766,2023-03-05 06:24:51.777948,Medium,Brute Force,3.4,64.2,1.0,66.2,51.7,0.0,99.238.107.200,Finance,Endpoint,Saint Lucia
ALERT_0001124,2023-02-09 23:22:46.822782,Medium,Phishing,3.3,66.4,10.0,,49.4,0.0,,Finance,Web Server,Mayotte
ALERT_0004055,2023-05-20 16:16:15.364913,Low,DDoS,,46.9,4.0,44.2,12.1,2685.0,,,Database,Norfolk Island
ALERT_0003762,2023-05-11 20:26:49.092072,Low,DDoS,0.6,64.6,,53.5,27.1,4311.0,,Developer,Database,North Macedonia
ALERT_0001536,2023-02-24 12:17:40.241976,Low,Brute Force,1.8,73.1,2.0,,,2434.0,,Developer,Web Server,Nauru
ALERT_0002945,2023-04-13 08:32:57.498603,Low,,0.0,44.8,1.0,34.0,69.3,3376.0,135.54.0.217,Contractor,Database,Anguilla
ALERT_0002988,2023-04-15 04:44:10.905679,Low,Phishing,0.0,55.9,2.0,87.0,,1181.0,,Support,Endpoint,
ALERT_0004292,2023-05-29 06:59:50.693767,Low,Phishing,0.2,71.5,1.0,59.7,62.1,,201.179.108.101,Contractor,Web Server,Djibouti
ALERT_0004343,2023-05-31 02:45:14.314632,Low,Brute Force,2.2,78.5,1.0,61.8,31.8,844.0,,Developer,API Gateway,Japan
ALERT_0004425,2023-06-02 08:42:01.357900,Medium,Malware,7.6,52.9,8.0,99.3,99.3,982.0,,Support,Endpoint,Egypt
ALERT_0007942,2023-09-27 19:01:09.419174,Low,Malware,2.6,53.7,1.0,16.5,27.5,701.0,67.250.221.104,Developer,Database,Burkina Faso
ALERT_0004998,2023-06-20 21:00:38.752992,Low,,,10.8,2.0,41.6,,466.0,,,Database,Yemen
ALERT_0002749,2023-04-06 15:02:55.177170,Low,Brute Force,0.3,54.5,,,54.2,0.0,143.8.180.52,Contractor,Endpoint,France
ALERT_0002303,2023-03-22 22:56:58.065085,High,,7.9,46.1,15.0,82.5,48.8,2680.0,15.219.137.27,,API Gateway,Bahamas
ALERT_0003933,2023-05-17 04:00:51.527906,Low,Brute Force,3.4,12.3,1.0,35.6,28.5,3838.0,,Developer,Web Server,Vanuatu
ALERT_0005957,2023-07-21 22:53:55.729303,Low,Malware,1.7,66.0,2.0,40.7,64.8,0.0,,Finance,Database,Australia
ALERT_0006132,2023-07-28 08:11:37.247527,Low,,,40.9,1.0,82.2,89.6,1715.0,,Developer,Database,Dominican Republic
ALERT_0007597,2023-09-16 19:26:46.466560,Low,Phishing,1.9,57.6,,21.8,50.8,0.0,24.134.22.236,Finance,Cloud Instance,Saint Helena
ALERT_0000795,2023-01-30 04:22:08.249401,Low,DDoS,2.3,75.7,1.0,51.7,89.0,2318.0,201.102.192.230,Developer,API Gateway,
ALERT_0003164,2023-04-22 01:57:05.325499,Low,Brute Force,0.1,14.5,1.0,56.8,25.7,109.0,,Developer,Web Server,Honduras
ALERT_0007941,2023-09-27 18:56:26.906319,Medium,Malware,2.2,48.0,4.0,19.6,34.2,67.0,128.247.74.138,,Endpoint,Haiti
ALERT_0003182,2023-04-22 12:58:28.454670,High,DDoS,8.5,29.2,9.0,73.9,72.3,2499.0,172.6.105.57,Finance,Database,Jamaica
ALERT_0000764,2023-01-28 21:18:12.449096,Low,DDoS,0.2,63.7,1.0,,57.4,421.0,167.22.180.142,Contractor,Endpoint,Brunei Darussalam
ALERT_0003079,2023-04-19 02:07:34.753525,Medium,,3.9,30.1,6.0,75.3,,0.0,,Support,Web Server,Norfolk Island
ALERT_0000812,2023-01-30 19:34:59.038932,Low,Malware,1.6,60.0,5.0,68.1,70.5,116.0,,Admin,Web Server,Germany
ALERT_0007260,2023-09-05 12:07:57.452468,Low,Malware,3.2,63.4,1.0,33.9,35.7,,,,Endpoint,Congo
ALERT_0006932,2023-08-25 08:42:04.459824,Low,,3.4,76.6,6.0,37.5,60.3,1038.0,48.148.14.34,Developer,Cloud Instance,Central African Republic
ALERT_0001619,2023-02-28 01:25:28.429489,Low,,0.6,74.5,1.0,54.4,63.3,,160.33.116.148,Support,,
ALERT_0006827,2023-08-21 04:14:27.073181,Low,Brute Force,0.0,53.4,5.0,67.0,100.0,275.0,,Developer,Database,Guernsey
ALERT_0001043,2023-02-07 21:48:25.831890,Low,Phishing,0.0,61.7,2.0,36.5,21.2,311.0,,Contractor,,Guyana
ALERT_0005319,2023-07-01 09:04:03.990208,Low,Malware,3.9,64.5,,45.7,59.4,405.0,188.201.237.202,,Endpoint,Mongolia
ALERT_0004795,2023-06-14 11:27:18.357631,Low,DDoS,3.6,66.4,1.0,51.4,43.8,385.0,,Developer,Cloud Instance,Lao People's Democratic Republic
ALERT_0000488,2023-01-18 21:13:30.676416,Medium,DDoS,3.0,53.0,3.0,39.7,40.9,920.0,78.202.179.220,Support,,Niger
ALERT_0001018,2023-02-07 01:07:21.357521,Low,,0.7,62.7,2.0,16.4,46.8,,,,Database,United States of America
ALERT_0002816,2023-04-09 05:51:11.237774,Low,Brute Force,1.5,77.2,1.0,18.1,,0.0,,,Database,Singapore
ALERT_0002717,2023-04-05 12:15:29.697519,Low,Brute Force,0.6,76.9,1.0,53.2,76.1,397.0,84.199.220.216,,API Gateway,Ireland
ALERT_0005364,2023-07-03 03:06:12.547106,Low,Malware,3.2,53.1,2.0,61.0,42.4,2704.0,193.222.17.111,Support,Database,Aruba
ALERT_0002930,2023-04-12 21:31:44.040972,Medium,Brute Force,,66.9,3.0,47.8,88.5,1390.0,159.233.245.183,Support,Endpoint,Wallis and Futuna
ALERT_0003363,2023-04-29 07:52:18.283053,Medium,Malware,3.0,41.5,6.0,98.3,83.6,3281.0,,Finance,Database,Grenada
ALERT_0005166,2023-06-26 04:17:15.769761,Critical,,10.0,47.9,21.0,100.0,100.0,791.0,,Developer,Web Server,Gambia
ALERT_0001076,2023-02-08 17:58:19.665958,Low,Phishing,0.0,65.2,1.0,57.4,,0.0,106.113.22.86,Developer,Web Server,Argentina
ALERT_0006399,2023-08-06 08:46:57.095992,Low,Phishing,0.2,62.8,3.0,32.5,37.6,,51.94.198.128,Developer,Web Server,Solomon Islands
ALERT_0004982,2023-06-20 07:39:36.986043,Medium,Phishing,0.5,70.4,2.0,56.3,100.0,,,,Cloud Instance,
ALERT_0006229,2023-07-31 23:45:24.219591,Low,Brute Force,2.2,44.9,2.0,48.7,56.7,2080.0,66.221.103.88,Admin,Endpoint,Cote d'Ivoire
ALERT_0002922,2023-04-12 16:44:37.150606,Medium,Brute Force,5.7,35.5,2.0,33.7,70.6,645.0,22.8.10.129,Support,Endpoint,
ALERT_0004020,2023-05-19 12:37:38.291788,Medium,,3.8,78.4,9.0,51.5,76.3,0.0,195.244.129.96,Support,,Ethiopia
ALERT_0004332,2023-05-30 17:31:48.613594,Low,,,26.6,,10.9,25.8,1222.0,,,Endpoint,Palau
ALERT_0007000,2023-08-28 01:05:55.657955,Low,Malware,0.5,75.9,1.0,40.7,97.8,1504.0,182.16.172.153,Finance,Endpoint,
ALERT_0001323,2023-02-16 21:37:27.763305,Medium,DDoS,,60.0,8.0,,,1086.0,29.36.210.236,Finance,,Botswana
ALERT_0007732,2023-09-21 11:51:10.174719,Low,Phishing,1.4,67.8,1.0,52.8,57.0,168.0,,Developer,Endpoint,Vanuatu
ALERT_0002253,2023-03-21 08:44:11.364210,Low,,0.3,84.4,1.0,32.5,,2129.0,108.157.107.242,Contractor,Web Server,Portugal
ALERT_0006655,2023-08-14 18:42:52.475884,Medium,,4.6,40.7,6.0,18.2,61.9,10316.0,,,Endpoint,Solomon Islands
ALERT_0007245,2023-09-05 04:58:47.125971,Low,DDoS,2.0,70.4,1.0,36.7,51.1,2276.0,130.120.129.71,Support,API Gateway,Panama
ALERT_0000867,2023-02-01 15:56:28.328120,Medium,Phishing,0.1,31.4,1.0,45.1,85.5,458.0,141.168.137.12,Developer,Web Server,Suriname
ALERT_0005592,2023-07-10 07:53:41.609390,Low,,1.0,74.4,1.0,51.0,38.3,0.0,121.29.75.108,,,Myanmar
ALERT_0002466,2023-03-28 22:47:09.422801,Low,Brute Force,0.0,61.0,1.0,,12.1,1885.0,,Admin,Database,Micronesia
ALERT_0000466,2023-01-17 23:04:04.256132,Low,Phishing,1.7,37.5,2.0,47.9,46.4,381.0,,Contractor,,Uzbekistan
ALERT_0002883,2023-04-11 17:25:54.260603,Low,Phishing,0.8,63.4,2.0,,32.1,1028.0,83.67.233.120,Developer,Web Server,Brunei Darussalam
ALERT_0004962,2023-06-19 14:45:07.470612,Low,Phishing,3.8,45.8,7.0,26.6,7.9,4467.0,,Developer,Endpoint,
ALERT_0007043,2023-08-29 23:55:15.786495,Low,Malware,1.3,54.8,,57.1,23.9,1363.0,139.237.12.204,Developer,Database,Papua New Guinea
ALERT_0006241,2023-08-01 06:13:48.350700,Medium,,2.8,61.1,8.0,67.1,91.4,1148.0,83.15.250.195,,API Gateway,Kiribati
ALERT_0005448,2023-07-05 14:15:07.607709,Low,DDoS,0.0,58.9,1.0,16.9,32.3,,112.239.174.65,Finance,API Gateway,Martinique
ALERT_0001503,2023-02-23 14:31:28.199824,Low,Phishing,0.2,85.4,,24.7,33.8,2240.0,,Support,Endpoint,Mali
ALERT_0003916,2023-05-16 21:00:30.270780,Low,,0.5,82.4,1.0,51.3,51.2,761.0,,Support,API Gateway,New Caledonia
ALERT_0003263,2023-04-25 12:05:25.444362,Low,Malware,1.8,77.9,,28.8,63.5,1606.0,,,Database,
ALERT_0000264,2023-01-10 06:21:27.124458,Low,Data Exfiltration,2.1,46.2,,37.8,58.0,1472.0,,Developer,Web Server,United States Virgin Islands
ALERT_0003807,2023-05-12 23:21:39.793791,Low,Phishing,0.7,77.9,1.0,52.2,25.7,133.0,,Support,Web Server,Thailand
